province,pop_total,consumption_per_capita,gdp,public_budget,secondary_industry,tertiary_industry,disposable_income
北京,2180,50667,52073.4,8401.95,7187.4,44776.9,89090
天津,1363,37147,18539.8,3359.69,6154.5,12091.8,55918
河北,7354,25464,49305.2,10243.59,17622.4,27168.3,36439
山西,3424,22265,25495.7,6058.91,10305.0,13780.2,33923
内蒙古,2374,29159,26710.3,6635.41,11292.7,12380.8,41921
辽宁,4131,26933,33182.9,6615.21,11027.6,19392.4,41703
吉林,2297,24074,14973.9,4791.36,4716.3,8586.9,32881
黑龙江,3001,24431,16878.0,6565.02,4008.8,9516.6,32851
上海,2485,54765,56708.7,9975.99,11650.6,44958.7,91987
江苏,8518,38975,142351.5,15189.75,60038.2,76943.7,57971
浙江,6701,47551,94545.0,12471.40,35682.2,56205.5,70240
安徽,6082,26022,52989.5,9120.15,20055.0,29382.9,38755
福建,4190,35631,60199.5,6148.70,25497.3,31347.7,50302
江西,4474,26094,36020.0,7426.93,14274.5,19095.6,37846
山东,10043,26956,103197.5,13185.60,40541.4,55881.1,44180
河南,9744,22850,66632.8,11516.12,24926.8,36167.9,33215
湖北,5811,28769,62660.9,9791.44,21865.9,35414.3,38881
湖南,6492,27882,55308.7,9531.13,19915.5,30441.4,39545
广东,12859,37262,145846.8,18161.13,54993.5,84961.5,53669
广西,4989,22142,29727.4,6742.18,9577.2,15518.5,32721
海南,1055,27147,8108.9,2344.49,1463.9,5002.4,36306
重庆,3187,28046,33757.9,5690.60,11787.7,19846.0,41580
四川,8318,26073,67665.3,13697.62,23260.2,38653.8,36120
贵州,3857,21770,23562.2,6556.39,7298.2,13240.6,30001
云南,4644,23335,32765.8,7002.20,10500.6,17944.4,31311
西藏,374,20501,3031.9,3102.18,1156.2,1592.1,33600
陕西,3936,24409,36551.1,7093.42,14521.2,19283.4,35790
甘肃,2443,20781,13697.5,4900.74,4558.2,7366.3,28224
青海,592,22315,4121.8,2164.19,1719.9,2003.5,31661
宁夏,732,23971,5696.5,1777.35,2360.4,2866.2,35184
新疆,2639,22657,21462.1,8100.32,8189.9,10456.0,32881
